question,answer
What to do if breast milk is inadequate after delivery,"If there is low breast milk after delivery:
Mother may produce less milk in early days of breastfeeding. But don't worry about this. This amount of milk is enough for the baby. If still the breast milk seems to be less, give nutritious diet to the mother. 
Mother needs adequate nutrition and energy:
-        To regain her health after delivery
-        Providing complete nutrition to the baby. Mother can eat every kind of food; there is no restriction in food.
Mother should have full diet 3 times a day, and also take healthy food at least 2 more times.
Everyday meal of the mother should contain:
-        One piece or 50 mg food rich in protein, such as-
Fish (small/large), or chicken or beef, or liver 
-        An egg
-        One glass or one bowl of milk or milk products like- yogurt, chhana
-        2 bowls of deep green or colored vegetables like- spinach, red spinach, and other local and raw vegetables. 
-        A bowl of yellow/ orange fruits or vegetables, like- Banana, Mango, Lemon, Pomegranate, Guava, Jack fruit, pumpkin, carrots , Beans, gourd, Tomato etc.
-        5 bowls of rice and 2 bowls of thick pulses; you can take bread instead of rice. 
-        One Iron Folic Acid tablet per day after meal for 3 months after delivery
Remember:
-        Measurement of mothers bwl should be 250 ml
-        Should give locally available foods; no need of costly food.
Take iodized salt, take 8-10 glasses (2-3 Liter) of water per day. These helps enhancing breast milk. 

It is very important to continue baby’s milk feeding, if the bby is allowed to suck breast, it helps to increase the milk flow and quantity. If milk production is not adequate despite nutritious food and sucking by baby, please ensure to consult a doctor. They might give medicine for milk production. 
Remember that, mothers’ milk has all necessary nutrition for proper growth of the baby. So ensure breast milk for children. 
"
Mothers food chart after delivery,"Mother needs adequate nutrition and energy, that can help her to regain her health after delivery.
Providing complete nutrition to the baby. Mother can eat every kind of food; there is no restriction in food.
Mother should have full diet 3 times a day, and also take healthy food at least 2 more times.
Everyday meal of the mother should contain:
-        One piece or 50 mg food rich in protein, such as-
Fish (small/large), or chicken or beef, or liver 
-        An egg
-        One glass or one bowl of milk or milk products like- yogurt, chhana
-        2 bowls of deep green or colored vegetables like- spinach, red spinach, and other local and raw vegetables. 
-        A bowl of yellow/ orange fruits or vegetables, like- Banana, Mango, Lemon, Pomegranate, Guava, Jack fruit, pumpkin, carrots , Beans, gourd, Tomato etc.
-        5 bowls of rice and 2 bowls of thick pulses; you can take bread instead of rice. 
-        8-10 glasses of water
-        One Iron Folic Acid tablet per day after meal for 3 months after delivery
Remember:
-        Measurement of mothers bwl should be 250 ml
-        Should give locally available foods; no need of costly food.
"
,
,"Exclusive Breastfeeding:
Do not feed the baby any other food like water, honey, cow milk, goat milk etc. up to 6 months of childbirth. These might cause vomiting, indigestion or diarrhoea of the baby. Breast feed the baby at 2-3 hours frequency and from both the breasts. Only this is important for a baby’s growth, weight gain and complete good health. 
"
Breast feeding of working mothers,"If a baby can not digest other milk or component, then few complications may arise. Any chances of child’s infection also increase few folds.
Besides, there is no alternative of breast milk for child growth, cognitive growth and improvement of nerves. Please donot feed a child other food like water, honey, cow milk, goat milk etc. these might cause vomiting, indigestion or diarrhoea of the baby. Breast feed the baby at 2-3 hours frequency and from both the breasts. Only this is important for a baby’s growth, weight gain and complete good health. 
After 6 months of age, when you will start other homemade food alongside breast milk, then you will be able to stay at workplace for few hours. That’s why Government of Bangladesh has increased maternity leave up to 6 months. But if you are a non-government worker, you can apply for increasing your maternity leave. If it is impossible to increase leave, yet you can breastfeed your baby up to 6 months, which only needs your most sincere efforts. 
Examples:
-        Preserve breastmilk in a clean pot before going out.
-        Must teach the caregiver how to feed the baby with spoon from the pot, and how to clean them and how to feed the baby on demand.
-        Mother milk stays fresh at room temperate up to 6 hours. But if you stay outside for a long period, you can preserve the milk in a refrigerator. In a refrigerator, milk stays fresh for 24 hours. Before feeding, please keep the milk outside so that it regains the normal temperature. Then it can be fed with a spoon from the pot. Never feed the preserved milk from a feeder or bottle. Thus, baby gets milk easily and reluctant to suck breast milk.

. 
"
What to do if the baby hiccups?,"Baby might have a hiccup due to inhaling much air while sucking breast milk. So, after every time of feeding and often in between feeding, the baby should be burped well. Thus, the baby becomes comfortable and can have enough milk, But, if the hiccup doesn’t stop or if you think it will not stop soon, then you must contact a doctor in a nearby hospital. 
Burping your baby:
1.        Hold the baby over your shoulder 
2.        Turn the head of the baby outwards so that the baby can breathe properly
3.        Pat over the back gently with your cupped palm or rub the back 
4.        Keep in this position till the baby can burp 

-        It is better to stop feeding when baby gets hiccough and then burp the baby and wait to end hiccough. Ensue that baby doesnot eat anything except breast milk. 
"
If the baby vomits,"Not burping properly in between feeding might cause vomiting after feeding. But child’s vomiting can also indicate many other things-
-        If your baby vomits frequently or several times a day, there is cough/mucous or blood in the vomit, then immediately take the baby to a health center or hospital.
For burping your baby:
1.        Hold the baby over your shoulder 
2.        Turn the head of the baby outwards so that the baby can breathe properly
3.        Pat over the back gently with your cupped palm or rub the back 
4.        Keep in this position till the baby is able to burp 
Only breast milk for the baby:
Do not feed the baby any other food like water, honey, cow milk, goat milk etc. up to 6 months of childbirth. These might increase vomiting and diarrhoea of the baby. 


"
If the baby vomits after breastfeeding,"If the baby vomits after having breast milk
A small child’s stomach is also smaller. So, if the amount of feeding is more, it regurgitates the extra amount of milk. Moreover, many children regurgitate some amount of milk after feeding. It might cause vomiting.
Things to do-
•        Only feed breast milk
•        Burp the baby as instructed keeping the head raised, after feeding
•        Don’t feed forcefully, feed on demand of the baby
•        If vomits, please keep its head to one side, then clean it with a soft piece of fresh cloth
•        Observe a few things, such as- is there excessive vomiting, is the baby becoming weaker, is urine output is less, if the abdomen is distended, is there any fever etc. If any one of these are found, immediately take the baby to a child specialist.
For burping your baby:
1.        Hold the baby over your shoulder 
2.        Turn the head of the baby outwards so that the baby can breathe properly
3.        Pat over the back gently with your cupped palm or rub the back 
4.        Keep in this position till the baby is able to burp
"
How to confirm baby is getting adequate breast milk,"How can you understand that baby is getting milk adequately?
If you see your baby is urinating 5-6 times a day and cheerful, then you understand that it is getting enough milk.
Remember that, a healthy baby wants to get frequent feeding.
So, if a baby wants more milk, donot think that baby is not well fed. Please give your child the amount of food on demand. If you want to confirm health condition of your baby, please contact nearby government hospital or a child specialist. They will give proper treatment and advise as per your child’s problem. 
"
KMC,"What is KMC?
-        This is a certain type of care where baby’s skin is directly in touch with the caregiver’s skin
-        This is very useful for preterm and low birth weight babies  
Babies delivered with normal weight also get benefit from KMC.        
Who can do this?
Mother, Father, Grand Father and Grand Mother (both paternal and maternal) or any other healthy member of the family.
When you can do this?
1.        Any time of the day
2.        Several times a day
3.        Up to the highest possible time, even 20 hours per day
Benefits of KMC:
-        Helps the baby for better growth and weight gain 
-        Reduces infection
-        Enables baby to breastfed for longer period
-        Baby sleeps adequately
-        Keep the bay warm which lowers the risk of getting cold
How long it can be done?
Kangaroo Mother Care (KMC) for low birth weight is very necessary. KMC should be continued up to child’s weight gain at 2.5 kg or more. It may be needed up to Six months of age. 
Considering child’s weight, physical condition and based on doctors advice, KMC can be extended for further age. 

"
,"Usually, neonates defecate 3 to 5 times a day. But initially the defecates every time after feeding. Babies who are fed on breast milk, they frequently pass small amount of stool (6-8 times a day). But babies who are fed on cow milk or formula milk, their stool is thicker and foul smelling. A few babies digest the milk completely and only urinates or defecates once a day or once in 2-3 days.    "
Constipation,"A few babies digest the milk completely and only urinate regularly as well as defecate once a day or once in 2-3 days.    
Not defecating upto 5-7 days ( constipation) is not a problem for a child unless abdomen is distended or colic, anorexia, excessive crying, lethargy etc symptoms are seen. 
In any problem or if the baby is not defecating up to 7 days, immediately consult a doctor. Please donot feed a child other food like water, honey, cow milk, goat milk etc. up to 6 months of childbirth
These might cause vomiting or diarrhoea of the baby. Breast feed the baby at 2-3 hours frequency, every time for 20 minutes of time, and from both the breasts. Only this is important for weight gain and complete good health of a baby. 

"
 Mucus with Stool,"Don't be panicked!
Babies who are exclusively breast-fed have less chance of abdominal infection. Babies who are fed on only breast milk, their stool may be loose and mucous stained. Do not worry. But observe-
-        Is there any fever,
-        Any blood passing with stool,
-        If vomiting,
-        Becoming weaker, or eyes are sunken or not,
-        Baby’s amount of urine is decreasing?
-        Loose motion is persistent for as long as more than 2 weeks.
If you observe any of these, please consult a specialist doctor.




"
Diarrhea,"Usually, neonates defecate 3 to 5 times a day. But initially the defecates every time after feeding. Babies who are fed on breast milk, they frequently pass small amount of stool (6-8 times a day). But babies who are fed on cow milk or formula milk, their stool is thicker and foul smelling. 
A few babies digest the milk completely and only urinates or defecates once a day or once in 2-3 days.    But if your baby has a moderate diarrhoea, you must consult a doctor. 
If your child defecates several times a day, please notice the symptoms of diarrhoea, sch as: watery stool, mucous in stool, blood in stool, stool color changes from normal etc.
If these symptoms are seen, please continue with feeding and immediately bring your baby to hospital. If the stool color is normal but passes frequent stool, take the baby to hospital in those cases as well. 
If your baby has diarrhoea of loose stool for more one day, please frequently feed breast milk to protect the baby from dehydration. Please donot feed a child other food like water, honey, cow milk, goat milk etc. upto 6 months of age. These might cause vomiting or diarrhoea of the baby. 
Breast feed the baby at 2-3 hours frequency and from both the breasts over a period of 20 minutes. Only this is important for a baby’s weight gain and complete good health. 
N.B. We only provide health education service. You should consult an experienced registered physician for all queries on treatment of medicine. 

"
Measles,"Measles is type of virus borne disease. Usually, children of 6 months to 3 yrs suffer more from measles. It is unlikely to get measles infection of babies less than six months of age. 
Initially, there may be fever for one to 4 days and running nose or cough with fever. The baby gets red rash in the body within 4 to 6 days of onset of fever.  It improves over next 3 to 4 days. 
Measles does not need any separate treatment.
But give medicine for fever and cough as advised by doctor and take necessary management.
Please do not worry if you only see the rashes. Confirm it with other symptoms and investigations. Please contact your nearby government hospital or child specialist. They will be able to provide proper treatment and advice as per your child’s health condition. 


"
 Food Restriction for Mother- Measles,"Mother can continue breast feeding the baby with measles.  But mother should refrain from taking some food, like kachu shak (raw vegetables), Hilsha fish, shrimp/ prawn etc. till the baby recovers.
Moreover, it is better to avoid food those can cause itching or allergy. But it is best solution to follow doctor’s advice. 
"
what to do during Diaper/Nappy Rash? ,"Due to long time use of diaper, rash might take place. 
Urine might retain inside the diaper and make it wet and cause allergy. 
So, you can use cotton made panty or nappy instead of diaper until rash recovers. 
Clean the baby with a dry piece of cloth after defecation or urination and again wear a clean cotton made panty or nappy. 

If there is severe rash, kindly contact with nearby government hospital or child specialist. They will provide proper treatment and advice as per your child’s problem. 


"
Oral ulcer of baby,"Sometimes, layers of milk might retain on the tongue which resembles like a whitish ulcer. If the spot disappears on gentle rubbing with a clean cotton cloth, then you understand that the white spot is due to layers of milk. If it does not disappear, then you have to understand it is due to fungus. Since Childrens’ immunity is less than adults, so any kind of infection can take place. Don’t worry even if it is due to fungal infection. Because it has treatment too. Do not give any medicine or use any cream or ointment without a doctor’s advice. Please contact nearby government hospital or a child specialist. They will observe actual condition of your child an confirm by physical examination if there is any problem. They will be able to provide proper treatment and advice as per your child’s problem. "
Erythema toxicum,"After passing 48 hours of age, the baby might have rash in the body which disappears within 7-10 days. No need to use any cream or lotion in this situation. It will do if every day you bathe the baby or rub properly with clean, lukewarm water. 

But if the rash contains pus or have fever, you should consult a doctor. Since there are different types of rashes, examination by a doctor is a must. Please contact nearby government hospital or a child specialist. They will be able to provide proper treatment and advice as per your child’s problem. 
"
Whitish oral ulcer,"White oral ulceration of child:
Sometimes, layers of milk might retain on the tongue which resembles like a whitish ulcer. If the spot disappears on gentle rubbing with a clean cotton cloth, then you understand that the white spot is due to layers of milk. If it does not disappear, then you have to understand it is due to fungus. Since Childrens’ immunity is less than adults, so any kind of infection can take place. Don’t worry even if it is due to fungal infection. Because it has treatment too. Do not give any medicine or use any cream or ointment without a doctor’s advice. Please contact nearby government hospital or a child specialist. They will observe actual condition of your child an confirm by physical examination if there is any problem. They will be able to provide proper treatment and advice as per your child’s problem. 

"
Umbilicus is not dried even after its fall,"Please wait up to 7 days, the umbilicus will dry itself. So do not touch the umbilicus or do not apply anything on it, like- powder, oil, cream, ghee or any medicine. Keep the surroundings of the umbilicus dry and clean. If it does not dry within 7 days, then please contact nearby government hospital or a child specialist. They will be able to provide proper treatment and advice as per your child’s problem. You can ask us regarding health education for your child. We are with you to answer health education related questions for your child."
Care of newborn umbilicus,"Usually, the umbilicus falls itself within 5-15 days. But this may vary child to child. Since the umbilicus falls automatically, please do not touch or pull it, do not apply anything  like – powder, oil, cream, ghee or medicine.  
Keep the surroundings of the umbilicus dry and clean. Redness of surrounding areas of umbilicus, pain, swelling or collection of pus or bleeding is a sign of infection. 

This might cause pain of the baby and the baby may feel discomfort. If the umbilicus of  your baby gets redness in surrounding areas, gets pain or swelling, or collect pus or bleed, contact nearby government hospital or a child specialist. They will examine the condition of your child and confirm any complications. 
"
Can oil be used in the baby's body?,"Baby’s umbilicus will fall down itself when dried. If there is no prohibition by doctor you can apply coconut oil, sesamum oil, olive oil etc. You can use whatever you use generally. But ensure that oil is in normal temperature (not hot or cold). Do not use alkaline soap to child’s skin.  Use baby soap which is soothing for child’s skin. You can take advice from doctor on this. "
Bathing of neonate,"If the baby’s umbilicus is dry, it will fall itself. Then, if the baby is healthy, if there is no physical issue, and if the doctor allows you to bathe the baby, you can bathe the baby. 

Bathing the baby is necessary to ensure cleanliness. But avoid bathing and sponge the baby until umbilicus falls down. 

You can bathe or sponge the baby at home with lukewarm water. Dry the baby with a dry towel just after bath and wrap with a dry piece of cloth. But if the child is sick, if born prematurely or born with low birth weight, please do not bathe the baby until doctor allows. 

During winter do not bathe the baby regularly rather bathe in alternate days with lukewarm water. In case of neonate, you can sponge its body with clean cloth soaked in lukewarm water.  Moreover, you can rub its body with Olive oil or pure mustard oil. 
"
Care of baby in winter:,"Care of baby in winter:
In winter, specially keep an eye tof the body temperature of the baby. That means, please look after that neonate or low birth weight or malnourished baby’s body is not become cold in cold weather. Because, a baby has life risk only due to coldness of it body. 
Please wear the baby clean and good warm clothes as much as possible. Wear the baby cap and stockings for hands and legs.  Clean the baby if it passes urine or stool. Please do not leave the baby in wet clothes. Keep a window open so that air can pass through. If you think the room is too cold, then you can use room heater. 
Be careful that baby is not sweating due to too much warm clothes. During this season, do not bathe the baby regularly rather bathe in alternate days with lukewarm water. In case of neonate, you can sponge its body with clean cloth soaked in lukewarm water.  Moreover, you can rub its body with Olive oil or pure mustard oil.
Babies may have allergy problem which worsen in winter. In that case please maintain hygiene and be alert. Viral infections are also common in this time. So please do not be anxious and consult a doctor.

"
How to take care of your baby?,"How to take care of your baby:
-	Maintain hygiene
-	Keep the baby’s room tidy, warm and clean
-	Don’t allow too many people to visit the baby
-	Properly wash your hand with soap before touching the baby
-	Please give her exclusive breastfeeding for the first six months and donot let the baby lie just after feeding
-	Vaccinate regularly as per schedule
-	Arrange a safe and nice environment for baby’s sleep
-	Ensure enough love and care, and provide skin to skin care
-	If you notice any symptom of sickness, please consult a doctor. "
When to cut the baby's hair?,"If the baby is healthy, you can cut baby’s hair after two to three weeks of birth. Keep the eyes clean and restrain from using kohl in child’s eye. Keep the skin of baby clean. Do not pour excess oil or cream. Change baby’s clothes every day. Change clothes whenever it becomes wet or dirty. Always wash baby’s clothes with detergent or soap and dry properly in the Sun. "
Danger signs of the child,"Danger signs of the child:
Danger signs of the baby are:
1.        Lathery, weakness or becomes slow and drowsy.
2.        Do not respond or do not play, sunken eyes. 
3.        Convulsion: Jerky movement in whole body or limbs or in the face. Tightness of body, upturn eyes. Sleepy or unconsciousness.
4.        Reluctant to eat- Baby can not suck breast or cannot eat properly.
5.        Cold clammy skin- Coldness of chest, abdomen, palm and legs on touching.
6.        Fever- Child’s body temperature is more than 99.5 degree Fahrenheit. 
7.        Fast breathing- Respiratory rate is more than 60 per minute or more. ( count one up and one down baby’s chest as a unit of respiration).
8.        Chest indrawing -Chest of the baby is in drawn during taking breath and chest ribs are seen clearly.
9.        Jaundice- Yellow coloration of palm and foot on the first day of birth or any other day.

Please notice these symptoms in your child. Do not be panicky. Be careful. If you notice any one of these symptoms, please visit nearby health center or doctor at once and consult.   
"
Reluctant to feed,"If the baby can not suck breast or can not breast feed well, be alert. It is a danger sign. To understand actual health situation of the baby and to get the baby examined, please go to nearby health center and consult a child specialist. They will give you proper treatment and advice as per your child’s health condition. 

If the doctor says that, baby is healthy but yet not feeding well, then ask the mother to press the breast and extract the milk, use a spoon and bowl to feed the baby.
"
Fast breathing,"Please count one up and one down baby’s chest as a unit of respiration. Thus, if baby’s respiratory rate is more than 60 per minute, then consider your baby is fast breathing.
If chest is indrawn on taking a breath and ribs are prominent, then consider it as a danger sign. Please go to nearby health center or hospital and consult a child specialist to understand the actual health condition of the baby and to get the baby examined. They will provide proper treatment and advice as per your child’s health condition.
"
Normal body temperature of the baby,"If the average temperature under the tongue, the thermometer reads about 98.6 degree Fahrenheit, its normal. Usually in the morning the lowest body temperature of the baby remains 97.4 degree Fahrenheit and in the afternoon it might be increased up to 99.5 degree Fahrenheit."
Fever of neonate,"If the baby’s body temperature is more than 99.5 degree Fahrenheit, it may be symptom of fever. 
In this situation, please go to nearby health center or hospital and consult a child specialist to understand the actual health condition of the baby and to get the baby examined. They will provide proper treatment and advice as per your child’s health condition.
"
Coldness of body,"Coldness of body, feeling cold by touching baby’s chest, abdomen, palm and feet is danger sign. In this situation, please go to nearby health center or hospital and consult a child specialist to understand the actual health condition of the baby and to get the baby examined. They will provide proper treatment and advice as per your child’s health condition.
A child’s limbs become colder than other parts of the body even in a healthy baby. So, keep baby’s hand and legs wrapped to protect the baby from becoming colder fast. Keep the baby in adequate lighten and airy place but refrain from keeping directly under electric fan. 
"
Why danger signs evolve,"It is very important to understand danger signs at the right time. A single danger sign may represent symptom of different diseases. For example, convulsion due to high fever or fast breathing due to pneumonia etc.
That means, behind every danger signs there remains some illness of the baby. Please notice these danger signs. Do not be panicky. Be alert and if you see any of these danger signs in your baby, immediately go to your nearby healthcare center or doctor and take "
Baby's lying position,"Put the baby to bed as per its comfort. But remember, donot put the baby to bed without burping. Ensure that baby do not have any difficulty in breathing."
Children's sleep,"Usually, small children sleep for more time, from 12 to 16 hours or more.

This enables the baby’s development. Do not worry about this. Naturally, most of the babies often awake unlike elders and demands feeding. It might make some difficulties for mothers. Do not be impatient rather adjust your resting time with your baby; this will be comfortable for you. Please breastfeed every 2 to 3 hours even at night and at night as well."
Neonatal jaundice,"Most of the babies might get jaundice after birth, that means youllow coloration of skin and white part of eyes and urine also may become yellowish. In most of the cases this is normal. Usually, it increases up to 4-5 days and become normal within 7-8 days. In some cases, it remains highest up to 2 weeks. 
But in some cases, such as if the baby is jaundices within 1 day of birth or if the jaundice stays long, then must seek suggestion from a child specialist. In this situation, testing blood group of mother and baby is necessary.  If the baby leaves sucking breast milk or has fever or any othe symptoms together, please consult a doctor soon.
"
Sudden jerky movements of baby,"Sudden jerky movement of a child is called jitteriness, which might happen normally to a neonate. But in some instances, it is not normal such as decreased blood glucose or calcium level, even crying late after the birth. 

This jerky movement and convulsion are not same. To identify convulsion, please notice that baby has any abnormality in vision with it (such as vacant look or rolling eyes). Usually, this jerking stops on holding baby’s body. But if you find any abnormality, please see the baby a child specialist.  
"
 Convulsion of newborn,"Sometimes the newborn might have convulsions. In this situation, jerkings might be noticed in whole body or only in limbs or in face. Symptoms of convulsion are tightening of the body, rolling of eyes, sleepiness and unconsciousness. Convulsion is a danger sign for the baby. In this situation, to understand actual physical condition and to examine the baby, please go to a nearby health center or hospital and contact a child specialist. They will treat your baby properly as per your baby’s need. "
Follow up visit,"Follow up visit:
Mother with the child should visit a doctor for check up in a hospital or health center  at least four times  after child birth or delivery:
•        First check- up within 24 hours of birth
•        Second check-up within 2-3 days of birth
•        Third check-up within 7-14 days of birth 
•        Fourth check-up at 6 weeks of birth
During these check -ups, apart from health and weight check of mother , advice on contraceptive method is necessary. During these check -ups, please also get advice regarding baby’s eyes, ears, umbilicus, weight gain and vaccination as well.
"
Watering from eyes or eye boogers:,"Watering from eyes or eye boogers:
Many children have narrow eye canal. Thus, baby’s tears accumulate inside eye and overflow in stead of passing through its normal way to nose. You should massage eye canals as per doctor’s advice or press beside eyes and at top of nose, from up to down, daily in 3-4 sessions (15- 20 times in each session) as per doctors’ advice.  Narrowed eye canal will be opened by this massaging. 

This problem might exist up to 8- 10 months. If the problem stays for more time or if the eye becomes red or accumulate dirt, then you must take your child to a eye specialist. 
"
Cramping in abdomen or excessive cry of the baby:,"Cramping in abdomen or excessive cry of the baby:
Due to pain in abdomen, usually this type of problem exists from 2 weeks to 3 to 4 months after birth. We name it ‘infantile colic’. Children who are fed on formula/tinned milk, cow milk or fed in feeder, they experience this colic often. So, baby have to feed on exclusive breast milk properly, feeder or bottle feeding is forbidden. No artificial sucker or nipples are allowed for the child. If the baby’s feeding and sleep is regular and it does not have a fever, there is no problem. 
But the baby feels comfort on burping. To burp the baby:  
1.        Hold the baby over your shoulder 
2.        Turn the head of the baby outwards so that the baby can breathe properly
3.        Pat over the back gently with your cupped palm or rub the back 
4.        Keep in this position till the baby is able to burp 

Exclusive breast feeding: 
Do not feed the baby any other food like water, honey, cow milk, goat milk etc. up to 6 months of childbirth. These might cause vomiting, indigestion or diarrhoea of the baby. Breast feed the baby at 2-3 hours frequency and from both the breasts. Only this is important for a baby’s growth, weight gain and complete good health. 

To know about your baby’s health status and examine the baby’s health problem if any, please visit a nearby health center or consult a child specialist.



"
How to keep the baby in Sun,"Precaution should be taken while keeping the child in the Sun. 
You can keep the baby in soft Sun light in the morning. But ensure the baby is in a shed so that baby is protected from exposure of direct harmful Sun rays. 

Keep the baby’s head covered, make a shadow over baby’s eyes with a thin piece of cloth. Wear the baby loose clothes. Do not keep the baby in Sun for a long period of time. If the baby is kept directly under strong Sun, the baby might be sicker. 
"
For growth of children,"Every child is unique. Their rate of increase in weight and height is also different. Apart from birth weight, growth rate of a child depends on food habit, hormonal influence, parent’s average weight & height. 

Do not feed the baby any other food like water, honey, cow milk, goat milk etc. up to 6 months of childbirth. These might cause vomiting, indigestion or diarrhoea of the baby.

 Breast feed the baby at 2-3 hours frequency and from both the breasts.
 Only this is important for a baby’s growth, weight gain and complete good health.  Please notice that baby is getting adequate breast milk or not. But how would you understand baby is getting milk properly?

If you see that your baby is urinating 5-6 times a day and lively, assume that baby is having milk rightly. 
Remember, a healthy baby demands frequent feeding. So, if a baby wants to eat frequently, you should not think that baby’s stomach is not full. Please give your child the amount of milk whenever it wants.  But to understand actual physical condition by getting  examined your baby, please go to a nearby government hospital or contact a child specialist. They will treat your baby properly as per your baby’s need.

"
Relationship of mother food with the baby,"There is no direct relationship with mother’s food and baby’s illness. But be aware of allergic foods. If mother herself or the baby becomes sick, allow the baby breast milk as well. Mother’s milk never does any harm to the baby. "
